,time,instrument,ROE,Free_Cash_Flow,EPS,Net_Profit_Qoq,PE_TTM,Market_Cap,Holder_Avg_Pct,return_5,rank_return_5,rank_avg_amount_5,amount,open,close
436918,2022/7/1,600010.SHA,0.5968,-4742632448,0.0073,136.317,46.08183,1.14E+11,0.001043205,1.0244899,0.6242449,0.9964613,3173623941,19.571213,20.91516
436919,2022/7/4,600010.SHA,0.5968,-4742632448,0.0073,136.317,44.601288,1.10E+11,0.001043205,0.92021114,0.044185076,0.9945811,1997515080,20.579172,20.243185
436920,2022/7/5,600010.SHA,0.5968,-4742632448,0.0073,136.317,45.156494,1.11E+11,0.001043205,0.92815036,0.08979166,0.99333334,2647893437,19.9072,20.495174
436921,2022/7/6,600010.SHA,0.5968,-4742632448,0.0073,136.317,43.86102,1.08E+11,0.001043205,0.9518073,0.348813,0.9910491,1656625597,20.15919,19.9072
436922,2022/7/7,600010.SHA,0.5968,-4742632448,0.0073,136.317,43.86102,1.08E+11,0.001043205,1,0.58900684,0.9893861,1313411244,19.739206,19.9072
436923,2022/7/8,600010.SHA,0.5968,-4742632448,0.0073,136.317,43.675953,1.08E+11,0.001043205,1.0042553,0.66243494,0.98689413,1145352956,19.991196,19.823202
436939,2022/8/1,600010.SHA,0.5968,-4742632448,0.0073,136.317,40.529804,99831221499,0.001043205,1.0233644,0.634707,0.9691639,1027754909,18.731247,18.39526
436940,2022/8/2,600010.SHA,0.5968,-4742632448,0.0073,136.317,38.864193,95728568561,0.001043205,0.9813084,0.56464624,0.9718718,1309653340,18.14327,17.63929
436941,2022/8/3,600010.SHA,0.5968,-4742632448,0.0073,136.317,39.23433,96640269214,0.001043205,0.98148143,0.64940035,0.97477776,1126349054,17.555294,17.807283
436942,2022/8/4,600010.SHA,0.5968,-4742632448,0.0073,136.317,39.049263,96184418887,0.001043205,0.9768519,0.5867273,0.97519636,683666693,17.807283,17.723288
436943,2022/8/5,600010.SHA,0.5968,-4742632448,0.0073,136.317,39.604465,97551969867,0.001043205,0.977169,0.5340087,0.9752066,871967956,17.723288,17.975277
436944,2022/8/8,600010.SHA,0.5968,-4742632448,0.0073,136.317,39.604465,97551969867,0.001043205,0.94690263,0.13447635,0.9638579,642075921,17.89128,17.975277
436945,2022/8/9,600010.SHA,0.5968,-4742632448,0.0073,136.317,39.974598,98463670520,0.001043205,0.9863014,0.47067326,0.9607762,626844908,17.975277,18.14327
436962,2022/9/1,600010.SHA,0.7606,1404739712,0.0092,-73.3608,174.89168,91170065296,0.00107129,0.96618354,0.48964527,0.9303279,391911003,16.799324,16.799324
436963,2022/9/2,600010.SHA,0.7606,1404739712,0.0092,-73.3608,174.89168,91170065296,0.00107129,0.9615385,0.33510855,0.92321867,275244227,16.799324,16.799324
436964,2022/9/5,600010.SHA,0.7606,1404739712,0.0092,-73.3608,177.51506,92537616275,0.00107129,0.97129184,0.34398034,0.9238641,461706659,16.88332,17.051313
436965,2022/9/6,600010.SHA,0.7606,1404739712,0.0092,-73.3608,179.26398,93449316928,0.00107129,0.99033815,0.44728762,0.92528147,476653383,17.135311,17.219307
436966,2022/9/7,600010.SHA,0.7606,1404739712,0.0092,-73.3608,180.13843,93905167255,0.00107129,1.0098039,0.6571136,0.9198364,424422531,17.219307,17.303305
436967,2022/9/8,600010.SHA,0.7606,1404739712,0.0092,-73.3608,178.38951,92993466602,0.00107129,1.0149255,0.53710896,0.9155937,467467096,17.303305,17.135311
436968,2022/9/9,600010.SHA,0.7606,1404739712,0.0092,-73.3608,180.13843,93905167255,0.00107129,1.0300001,0.65276927,0.9122091,355025001,17.219307,17.303305
439682,2022/3/7,600028.SHA,7.9232,-1.24E+11,0.495,-2.2851,7.598721,5.27E+11,0.002033215,1.0116279,0.7411017,0.9701461,1151995816,15.592324,15.310747
439683,2022/3/8,600028.SHA,7.9232,-1.24E+11,0.495,-2.2851,7.389101,5.12E+11,0.002033215,0.97690535,0.7188559,0.9728814,1325258451,15.169959,14.888382
439684,2022/3/9,600028.SHA,7.9232,-1.24E+11,0.495,-2.2851,7.2318864,5.01E+11,0.002033215,0.9583334,0.7532853,0.9741416,1125292665,14.923579,14.571608
439701,2022/4/1,600028.SHA,9.3845,1.28E+11,0.588,-45.4361,7.430081,5.29E+11,0.001953026,1.053012,0.8609355,0.94039595,693447485,15.205155,15.381142
439702,2022/4/6,600028.SHA,9.3845,1.28E+11,0.588,-45.4361,7.4980907,5.34E+11,0.001953026,1.0600961,0.835019,0.94501793,701904112,15.345944,15.52193
439703,2022/4/7,600028.SHA,9.3845,1.28E+11,0.588,-45.4361,7.4130783,5.28E+11,0.001953026,1.016317,0.7412558,0.93577594,686670657,15.451535,15.345944
439704,2022/4/8,600028.SHA,9.3845,1.28E+11,0.588,-45.4361,7.447083,5.30E+11,0.001953026,1.0115474,0.67761636,0.9296842,491208315,15.381142,15.416339
439720,2022/5/5,600028.SHA,2.8807,-1.15E+11,0.187,99.7614,6.9403267,5.27E+11,0.001906625,1.004619,0.7545165,0.958351,726040831,15.310747,15.310747
439721,2022/5/6,600028.SHA,2.8807,-1.15E+11,0.187,99.7614,6.8286433,5.18E+11,0.001906625,1.0214797,0.4943038,0.95507276,600997030,15.169959,15.064367
439722,2022/5/9,600028.SHA,2.8807,-1.15E+11,0.187,99.7614,6.860553,5.21E+11,0.001906625,1.0361446,0.26698312,0.9512658,383620663,15.064367,15.134762
439739,2022/6/1,600028.SHA,2.8807,-1.15E+11,0.187,99.7614,7.0201006,5.33E+11,0.001906625,1.0280373,0.30278593,0.9698429,913447433,15.6275215,15.4867325
439740,2022/6/2,600028.SHA,2.8807,-1.15E+11,0.187,99.7614,7.05201,5.35E+11,0.001906625,1.0184332,0.32921466,0.96985555,743088758,15.451535,15.557127
439741,2022/6/6,600028.SHA,2.8807,-1.15E+11,0.187,99.7614,7.08392,5.38E+11,0.001906625,1.0136986,0.24111994,0.9680451,987043049,15.6275215,15.6275215
439742,2022/6/7,600028.SHA,2.8807,-1.15E+11,0.187,99.7614,7.147739,5.42E+11,0.001906625,1.0158731,0.28601253,0.9653445,1000069495,15.592324,15.76831
439743,2022/6/8,600028.SHA,2.8807,-1.15E+11,0.187,99.7614,7.1956034,5.46E+11,0.001906625,1.0250001,0.45678496,0.96304804,1028076897,15.803507,15.873901
439744,2022/6/9,600028.SHA,2.8807,-1.15E+11,0.187,99.7614,7.211558,5.47E+11,0.001906625,1.013453,0.617039,0.967843,1621775212,15.873901,15.909099
439760,2022/7/1,600028.SHA,2.8807,-1.15E+11,0.187,99.7614,6.5095477,4.94E+11,0.001906625,1.002457,0.4203291,0.8422148,277108267,15.417843,15.417843
